,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,0.37254901960784315,1,0,0.11811818987539752,S,Third,man,True,Southampton,no,False,1
2,1,3,female,0.4509803921568628,0,0,0.12911540065690005,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,0.6274509803921569,1,0,0.8651139148115323,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,0.6274509803921569,0,0,0.13115192117199312,S,Third,man,True,Southampton,no,True,0
5,0,3,male,0.5235121107266436,0,0,0.13780401178249307,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,1.0,0,0,0.8449523617121111,S,First,man,True,Southampton,no,True,0
8,1,3,female,0.4705882352941177,0,2,0.1813855508054846,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,0.21568627450980393,1,0,0.4899184088420833,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,0.019607843137254832,1,1,0.2720791408164329,S,Third,child,False,Southampton,yes,False,2
12,0,3,male,0.33333333333333337,0,0,0.13115192117199312,S,Third,man,True,Southampton,no,True,0
13,0,3,male,0.7058823529411765,1,5,0.5095374328762838,S,Third,man,True,Southampton,no,False,6
14,0,3,female,0.21568627450980393,0,0,0.1279619154371513,S,Third,child,False,Southampton,no,True,0
17,1,2,male,0.5235121107266436,0,0,0.2117981335696783,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,0.5490196078431373,1,0,0.29325895417340075,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,0.5235121107266436,0,0,0.1177108857723789,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,0.6274509803921569,0,0,0.42359626713935666,S,Second,man,True,Southampton,no,True,0
21,1,2,male,0.607843137254902,0,0,0.2117981335696783,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,0.23529411764705882,0,0,0.1308130441582816,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,0.4901960784313726,0,0,0.5783718262864292,S,First,man,True,Southampton,yes,True,0
24,0,3,female,0.0980392156862745,3,1,0.34335735884469004,S,Third,child,False,Southampton,no,False,4
25,1,3,female,0.6862745098039216,1,5,0.5113703013398676,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,0.5235121107266436,0,0,0.1177108857723789,C,Third,man,True,Cherbourg,no,True,0
28,1,3,female,0.5235121107266436,0,0,0.12836921954016997,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,0.5235121107266436,0,0,0.1286396694645743,S,Third,man,True,Southampton,no,True,0
30,0,1,male,0.7254901960784315,0,0,0.45163182315833383,C,First,man,True,Cherbourg,no,True,0
32,1,3,female,0.5235121107266436,0,0,0.12626427193576978,Q,Third,woman,False,Queenstown,yes,True,0
35,0,1,male,0.7647058823529412,1,0,0.8471925342787134,S,First,man,True,Southampton,no,False,1
36,1,3,male,0.5235121107266436,0,0,0.11777931286168603,C,Third,man,True,Cherbourg,yes,True,0
